uname='U+1F64F', utitle='Человек сложивший руки', ucode='🙏'
uname='U+1F64C', utitle='Человек поднявший обе руки в торжестве', ucode='🙌'
uname='U+270D', utitle='Пишущая рука', ucode='✍'
uname='U+1F933', utitle='Селфи', ucode='🤳'
uname='U+1F485', utitle='Лак для ногтей', ucode='💅'
uname='U+1FAC1', utitle='Легкие', ucode='🫁'
uname='U+1FAC0', utitle='Анатомическое сердце', ucode='🫀'
uname='U+1F441', utitle='Глаз', ucode='👁'
uname='U+1F444', utitle='Рот', ucode='👄'
uname='U+1F445', utitle='Язык', ucode='👅'
uname='U+1F442', utitle='Ухо', ucode='👂'
uname='U+1F443', utitle='Нос', ucode='👃'
uname='U+1F9B4', utitle='Кость', ucode='🦴'
uname='U+1F440', utitle='Глаза', ucode='👀'
uname='U+1F9B6', utitle='Стопа', ucode='🦶'
uname='U+1F9B5', utitle='Нога', ucode='🦵'
uname='U+1F9BB', utitle='Ухо со слуховым аппаратом', ucode='🦻'
uname='U+1F9B7', utitle='Зуб', ucode='🦷'
uname='U+1F9BF', utitle='Бионическая нога', ucode='🦿'
uname='U+1F9BE', utitle='Бионическая рука', ucode='🦾'
uname='U+1F4AA', utitle='Бицепс', ucode='💪'
uname='U+1F9E0', utitle='Мозг', ucode='🧠'
uname='U+1F9D3', utitle='Пожилой взрослый', ucode='🧓'
uname='U+1F9D1', utitle='Взрослый', ucode='🧑'
uname='U+1F9D2', utitle='Ребенок', ucode='🧒'
uname='U+1F469', utitle='Женщина', ucode='👩'
uname='U+1F466', utitle='Мальчик', ucode='👦'
uname='U+1F467', utitle='Девочка', ucode='👧'
uname='U+1F468', utitle='Мужчина', ucode='👨'
uname='U+1F471', utitle='Человек со светлыми волосами', ucode='👱'
uname='U+1F476', utitle='Младенец', ucode='👶'
uname='U+1F474', utitle='Старик', ucode='👴'
uname='U+1F475', utitle='Старуха', ucode='👵'
uname='U+1F9D4', utitle='Бородач', ucode='🧔'
uname='U+1F64B', utitle='Счастливый человек с поднятой рукой', ucode='🙋'
uname='U+1F64D', utitle='Нахмурившийся человек', ucode='🙍'
uname='U+1F647', utitle='Глубокий поклон', ucode='🙇'
uname='U+1F64E', utitle='Человек с надутыми губами', ucode='🙎'
uname='U+1F9CF', utitle='Человек с нарушениями слуха', ucode='🧏'
uname='U+1F926', utitle='Фейспалм', ucode='🤦'
uname='U+1F646', utitle='Человек жестикулирующий, что всё хорошо', ucode='🙆'
uname='U+1F481', utitle='Информационная стойка', ucode='💁'
uname='U+1F937', utitle='Пожимание плечами', ucode='🤷'
uname='U+1F645', utitle='Человек жестикулирующий о том, что ему не нравится', ucode='🙅'
uname='U+1F472', utitle='Мужчина в шапке гуань-пи-мао', ucode='👲'
uname='U+1F477', utitle='Строитель', ucode='👷'
uname='U+1F482', utitle='Караульный', ucode='💂'
uname='U+1F977', utitle='Ниндзя', ucode='🥷'
uname='U+1F9D5', utitle='Человек в платке', ucode='🧕'
uname='U+1F575', utitle='Сыщик или шпион', ucode='🕵'
uname='U+1F478', utitle='Принцесса', ucode='👸'
uname='U+1F473', utitle='Мужчина в тюрбане', ucode='👳'
uname='U+1F470', utitle='Невеста с вуалью', ucode='👰'
uname='U+1F46E', utitle='Офицер полиции', ucode='👮'
uname='U+1F931', utitle='Кормление грудью', ucode='🤱'
uname='U+1F930', utitle='Беременная женщина', ucode='🤰'
uname='U+1F934', utitle='Принц', ucode='🤴'
uname='U+1F935', utitle='Мужчина в смокинге', ucode='🤵'
uname='U+1F9DB', utitle='Вампир', ucode='🧛'
uname='U+1F9DA', utitle='Фея', ucode='🧚'
uname='U+1F385', utitle='Санта Клаус', ucode='🎅'
uname='U+1F9DE', utitle='Джин', ucode='🧞'
uname='U+1F9D9', utitle='Маг', ucode='🧙'
uname='U+1F47C', utitle='Младенец-ангел', ucode='👼'
